collection_date,Total Inpatient Beds
15-06-2020,293
16-06-2020,295
17-06-2020,290
18-06-2020,291
19-06-2020,288
20-06-2020,289
21-06-2020,277
22-06-2020,289
23-06-2020,292
24-06-2020,293
25-06-2020,291
26-06-2020,282
27-06-2020,283
28-06-2020,284
29-06-2020,194
30-06-2020,292
01-07-2020,275
02-07-2020,290
03-07-2020,287
04-07-2020,283
05-07-2020,282
06-07-2020,284
07-07-2020,291
08-07-2020,292
09-07-2020,294
10-07-2020,287
11-07-2020,284
12-07-2020,282
13-07-2020,292
14-07-2020,292
15-07-2020,291
16-07-2020,341
17-07-2020,234
18-07-2020,235
19-07-2020,254
20-07-2020,259
21-07-2020,269
22-07-2020,277
23-07-2020,272
24-07-2020,274
25-07-2020,202
26-07-2020,219
27-07-2020,232
28-07-2020,207
29-07-2020,213
30-07-2020,228
31-07-2020,212
01-08-2020,227
02-08-2020,215
03-08-2020,292
04-08-2020,214
05-08-2020,249
06-08-2020,288
07-08-2020,227
08-08-2020,209
09-08-2020,278
10-08-2020,242
11-08-2020,251
12-08-2020,213
13-08-2020,207
14-08-2020,214
15-08-2020,237
16-08-2020,279
17-08-2020,207
18-08-2020,272
19-08-2020,273
20-08-2020,282
21-08-2020,248
22-08-2020,220
23-08-2020,278
24-08-2020,252
25-08-2020,199
26-08-2020,213
27-08-2020,207
28-08-2020,284
29-08-2020,299
30-08-2020,291
31-08-2020,292
01-09-2020,282
02-09-2020,227
03-09-2020,195
04-09-2020,252
05-09-2020,251
06-09-2020,219
07-09-2020,232
08-09-2020,237
09-09-2020,233
10-09-2020,228
11-09-2020,212
12-09-2020,227
13-09-2020,222
14-09-2020,232
15-09-2020,252
16-09-2020,219
17-09-2020,224
18-09-2020,227
19-09-2020,233
20-09-2020,228
21-09-2020,212
22-09-2020,257
23-09-2020,219
24-09-2020,235
25-09-2020,193
26-09-2020,229
27-09-2020,272
28-09-2020,220
29-09-2020,259
30-09-2020,242
01-10-2020,258
02-10-2020,221
03-10-2020,213
04-10-2020,277
05-10-2020,244
06-10-2020,259
07-10-2020,239
08-10-2020,247
09-10-2020,282
10-10-2020,252
11-10-2020,251
12-10-2020,219
13-10-2020,242
14-10-2020,257
15-10-2020,233
16-10-2020,228
17-10-2020,212
18-10-2020,218
19-10-2020,213
20-10-2020,213
21-10-2020,272
22-10-2020,249
23-10-2020,232
24-10-2020,220
25-10-2020,229
26-10-2020,232
27-10-2020,257
28-10-2020,211
29-10-2020,213
30-10-2020,237
31-10-2020,214
01-11-2020,259
02-11-2020,219
03-11-2020,227
04-11-2020,232
05-11-2020,211
06-11-2020,222
07-11-2020,214
08-11-2020,237
09-11-2020,249
10-11-2020,235
11-11-2020,205
12-11-2020,204
13-11-2020,230
14-11-2020,215
15-11-2020,219
16-11-2020,223
17-11-2020,283
18-11-2020,224
19-11-2020,275
20-11-2020,231
21-11-2020,229
22-11-2020,232
23-11-2020,252
24-11-2020,251
25-11-2020,213
30-11-2020,207
01-12-2020,252
02-12-2020,210
03-12-2020,278
04-12-2020,219
05-12-2020,232
06-12-2020,257
07-12-2020,233
08-12-2020,228
09-12-2020,212
10-12-2020,207
11-12-2020,252
12-12-2020,210
13-12-2020,278
14-12-2020,254
15-12-2020,272
16-12-2020,278
17-12-2020,257
18-12-2020,245
19-12-2020,248
20-12-2020,212
21-12-2020,247
22-12-2020,214
23-12-2020,255
24-12-2020,275
25-12-2020,252
26-12-2020,249
27-12-2020,288
28-12-2020,227
29-12-2020,209
30-12-2020,278
31-12-2020,242
01-01-2021,251
02-01-2021,213
03-01-2021,207
04-01-2021,214
05-01-2021,237
06-01-2021,249
07-01-2021,235
08-01-2021,205
09-01-2021,204
10-01-2021,290
11-01-2021,292
12-01-2021,295
13-01-2021,290
14-01-2021,252
15-01-2021,199
16-01-2021,222
17-01-2021,251
18-01-2021,219
19-01-2021,232
20-01-2021,235
21-01-2021,233
22-01-2021,192
23-01-2021,203
24-01-2021,290
25-01-2021,222
26-01-2021,233
27-01-2021,252
28-01-2021,255
29-01-2021,237
30-01-2021,287
31-01-2021,219
01-02-2021,223
02-02-2021,283
03-02-2021,224
04-02-2021,275
05-02-2021,231
06-02-2021,229
07-02-2021,232
08-02-2021,252
09-02-2021,251
10-02-2021,213
11-02-2021,247
12-02-2021,214
13-02-2021,259
14-02-2021,229
15-02-2021,247
16-02-2021,252
17-02-2021,222
18-02-2021,252
19-02-2021,219
20-02-2021,232
21-02-2021,257
22-02-2021,233
23-02-2021,228
24-02-2021,212
25-02-2021,207
26-02-2021,252
27-02-2021,210
28-02-2021,278
01-03-2021,249
02-03-2021,252
03-03-2021,220
04-03-2021,199
05-03-2021,202
06-03-2021,250
07-03-2021,242
08-03-2021,238
09-03-2021,237
10-03-2021,214
11-03-2021,259
12-03-2021,229
13-03-2021,237
14-03-2021,274
15-03-2021,222
16-03-2021,252
17-03-2021,272
18-03-2021,247
19-03-2021,257
20-03-2021,243
21-03-2021,228
22-03-2021,218
23-03-2021,247
24-03-2021,212
25-03-2021,255
26-03-2021,193
27-03-2021,252
28-03-2021,238
29-03-2021,208
30-03-2021,199
31-03-2021,202
01-04-2021,258
02-04-2021,211
03-04-2021,213
04-04-2021,237
05-04-2021,214
06-04-2021,259
07-04-2021,190
08-04-2021,253
09-04-2021,228
10-04-2021,249
11-04-2021,232
12-04-2021,220
13-04-2021,225
14-04-2021,207
15-04-2021,260
16-04-2021,282
17-04-2021,257
18-04-2021,227
19-04-2021,217
20-04-2021,215
21-04-2021,227
22-04-2021,259
23-04-2021,232
24-04-2021,214
25-04-2021,259
26-04-2021,277
27-04-2021,229
28-04-2021,253
29-04-2021,193
30-04-2021,262
01-05-2021,272
02-05-2021,281
03-05-2021,249
04-05-2021,207
05-05-2021,272
06-05-2021,252
07-05-2021,251
08-05-2021,219
09-05-2021,232
10-05-2021,237
11-05-2021,233
12-05-2021,228
13-05-2021,212
17-05-2021,232
18-05-2021,289
19-05-2021,222
20-05-2021,220
21-05-2021,219
22-05-2021,272
23-05-2021,230
24-05-2021,203
25-05-2021,228
26-05-2021,275
27-05-2021,279
28-05-2021,229
29-05-2021,242
30-05-2021,220
31-05-2021,234
01-06-2021,211
02-06-2021,212
03-06-2021,207
04-06-2021,202
05-06-2021,207
06-06-2021,204
07-06-2021,228
08-06-2021,212
09-06-2021,201
10-06-2021,322
11-06-2021,312
12-06-2021,212
13-06-2021,299
14-06-2021,202
15-06-2021,220
